run_idx,status,exit_code,seed,device,batch_size,learner.momentum,learner.opt,learner.step_size,learner.weight_decay,epoch_loss,epoch_accuracy
0,ok,0,392468287,cuda:0,128,0.0,sgd,0.1,0.0,0.02053402916416526,0.9937833333333334
1,ok,0,1474252800,cuda:1,256,0.0,sgd,0.1,0.0,0.021619761739671232,0.9933166666666666
2,ok,0,28341272,cuda:0,128,0.0,adam,0.1,0.0,0.020005582231283188,0.9936666666666667
3,ok,0,1343386326,cuda:1,256,0.0,adam,0.1,0.0,0.02026211574524641,0.9934833333333334
4,ok,0,1470104680,cuda:0,128,0.9,sgd,0.1,0.0,0.020415629793703555,0.99385
5,ok,0,824537248,cuda:1,256,0.9,sgd,0.1,0.0,0.019222954205671945,0.9941333333333333
6,ok,0,1578817378,cuda:0,128,0.0,sgd,0.1,0.001,0.020895539768536885,0.9937
7,ok,0,1670662516,cuda:1,256,0.0,sgd,0.1,0.001,0.01827857348124186,0.99455
9,ok,0,1726965213,cuda:1,256,0.0,adam,0.1,0.001,0.021683370232582093,0.9936333333333334
8,ok,0,1200998996,cuda:0,128,0.0,adam,0.1,0.001,0.020873858067641655,0.9937333333333334
10,ok,0,1187381603,cuda:0,128,0.9,sgd,0.1,0.001,0.019967891706029573,0.9937833333333334
11,ok,0,1575071123,cuda:1,256,0.9,sgd,0.1,0.001,0.021299596147735914,0.9934166666666666
12,ok,0,895124903,cuda:0,128,0.0,sgd,0.1,0.01,0.02103200955092907,0.99335
13,ok,0,2011564820,cuda:1,256,0.0,sgd,0.1,0.01,0.02124995989551147,0.9933333333333333
14,ok,0,155348692,cuda:0,128,0.0,adam,0.1,0.01,0.02253133982469638,0.9929
15,ok,0,363326334,cuda:1,256,0.0,adam,0.1,0.01,0.020290269115567208,0.9938166666666667
16,ok,0,1347641946,cuda:0,128,0.9,sgd,0.1,0.01,0.02026488850414753,0.9937333333333334
17,ok,0,1568387327,cuda:1,256,0.9,sgd,0.1,0.01,0.021141315112262964,0.99305
18,ok,0,1165279761,cuda:0,128,0.0,sgd,0.01,0.0,0.020774282447000345,0.9938833333333333
19,ok,0,1559571471,cuda:1,256,0.0,sgd,0.01,0.0,0.02114086549282074,0.9936166666666667
20,ok,0,322705554,cuda:0,128,0.0,adam,0.01,0.0,0.020323702395955722,0.9937
21,ok,0,356092298,cuda:1,256,0.0,adam,0.01,0.0,0.02025607737203439,0.9939333333333333
