2025-01-08 23:45:36,177 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Configure stats pid to 1750805
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Loading settings from /home/sfchan/.config/wandb/settings
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Loading settings from /hdda/models/my_own_models/architectural_and_learning_on_loss_landscape/outputs/2025-01-08/23-45-29/wandb/settings
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'experiments/basic_training/single_loss_gradient_expr.py', 'program_abspath': '/hdda/models/my_own_models/architectural_and_learning_on_loss_landscape/experiments/basic_training/single_loss_gradient_expr.py', 'program': '/hdda/models/my_own_models/architectural_and_learning_on_loss_landscape/experiments/basic_training/single_loss_gradient_expr.py'}
2025-01-08 23:45:36,178 INFO    MainThread:1750805 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-01-08 23:45:36,179 INFO    MainThread:1750805 [wandb_init.py:_log_setup():534] Logging user logs to /hdda/models/my_own_models/architectural_and_learning_on_loss_landscape/outputs/2025-01-08/23-45-29/wandb/run-20250108_234536-c1u6h4fe/logs/debug.log
2025-01-08 23:45:36,179 INFO    MainThread:1750805 [wandb_init.py:_log_setup():535] Logging internal logs to /hdda/models/my_own_models/architectural_and_learning_on_loss_landscape/outputs/2025-01-08/23-45-29/wandb/run-20250108_234536-c1u6h4fe/logs/debug-internal.log
2025-01-08 23:45:36,179 INFO    MainThread:1750805 [wandb_init.py:init():621] calling init triggers
2025-01-08 23:45:36,179 INFO    MainThread:1750805 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {'use_wandb': True, 'runs': 1, 'seed': 42, 'device': 'cuda:1', 'epochs': 100, 'batch_size': 128, 'data': {'dataset': 'CIFAR10', 'data_path': '/hdda/datasets', 'num_classes': 10}, 'net': {'type': 'vgg_custom', 'netparams': {'num_classes': 10}}, 'learner': {'type': 'backprop', 'device': 'cuda:1', 'opt': 'adam', 'loss': 'nll', 'step_size': 0.01, 'beta_1': 0.95, 'beta_2': 0.999, 'weight_decay': 0.01, 'to_perturb': False, 'perturb_scale': 0.05, 'momentum': 0.9}, 'evaluation': {'eval_freq_epoch': 1, 'eval_metrics': ['accuracy', 'loss'], 'save_dir': '/results/results_raw'}}
2025-01-08 23:45:36,179 INFO    MainThread:1750805 [wandb_init.py:init():671] starting backend
2025-01-08 23:45:36,180 INFO    MainThread:1750805 [wandb_init.py:init():675] sending inform_init request
2025-01-08 23:45:36,184 INFO    MainThread:1750805 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-08 23:45:36,185 INFO    MainThread:1750805 [wandb_init.py:init():688] backend started and connected
2025-01-08 23:45:36,193 INFO    MainThread:1750805 [wandb_init.py:init():783] updated telemetry
2025-01-08 23:45:36,270 INFO    MainThread:1750805 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2025-01-08 23:45:36,684 INFO    MainThread:1750805 [wandb_init.py:init():867] starting run threads in backend
2025-01-08 23:45:36,913 INFO    MainThread:1750805 [wandb_run.py:_console_start():2463] atexit reg
2025-01-08 23:45:36,913 INFO    MainThread:1750805 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-01-08 23:45:36,913 INFO    MainThread:1750805 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-01-08 23:45:36,913 INFO    MainThread:1750805 [wandb_run.py:_redirect():2401] Redirects installed.
2025-01-08 23:45:36,916 INFO    MainThread:1750805 [wandb_init.py:init():911] run started, returning control to user process
